RoomPrice($),LocalEvents/Attractions,LengthofStay(nights),RoomAvailability,RoomType,Competitor1_Price,Competitor2_Price,Competitor3_Price,Competitor4_Price,,Booking Time
108,0,3,13,Standard,110,115,105,120,,13-04-2024 09:00
127,0,1,18,Standard,115,120,110,130,,07-04-2024 11:00
130,0,1,14,Standard,125,130,120,140,,21-04-2024 13:00
141,Concert,2,2,Pro,130,135,125,145,,04-04-2024 08:00
130,0,3,13,Pro,120,125,115,135,,22-04-2024 12:00
100,Conference,4,10,Pro,120,125,115,130,,09-04-2024 11:30
95,0,3,16,Standard,120,125,115,135,,13-04-2024 09:00
134,0,3,11,Standard,130,135,125,145,,28-04-2024 10:00
107,0,1,16,Standard,110,115,105,120,,14-04-2024 10:00
139,0,2,6,Pro,125,130,120,140,,26-04-2024 12:00
97,0,2,8,Standard,125,130,120,140,,16-04-2024 12:00
146,Concert,3,6,Pro,125,130,120,140,,01-04-2024 12:00
108,0,2,13,Standard,115,120,110,130,,16-04-2024 10:00
93,0,2,15,Standard,115,120,110,130,,30-04-2024 08:00
136,0,2,5,Pro,130,135,125,145,,08-04-2024 08:00
89,Conference,2,7,Pro,125,130,120,140,,27-04-2024 09:00
171,Marathon,2,5,Pro,130,135,125,145,,20-04-2024 12:00
134,0,2,12,Standard,125,130,120,140,,27-04-2024 13:00
80,0,1,12,Standard,115,120,110,130,,30-04-2024 08:00
130,Conference,4,2,Pro,125,130,120,140,,13-04-2024 09:00
145,0,3,4,Pro,130,135,125,145,,16-04-2024 10:00
98,0,3,16,Standard,115,120,110,130,,10-04-2024 08:00
157,Conference,3,4,Pro,130,135,125,145,,16-04-2024 10:00
154,Conference,1,3,Standard,120,125,115,130,,20-04-2024 12:00
150,0,3,12,Pro,120,125,115,130,,29-04-2024 08:00
95,0,2,7,Standard,120,125,115,130,,27-04-2024 09:00
143,Marathon,4,3,Pro,125,130,120,140,,01-04-2024 15:00
101,0,3,14,Standard,120,125,115,130,,09-04-2024 09:00
167,0,2,3,Pro,130,135,120,125,,08-04-2024 10:00
180,0,2,4,Pro,130,135,125,145,,29-04-2024 12:00
130,Concert,4,5,Pro,125,130,120,140,,26-04-2024 10:00
80,0,3,14,Standard,120,125,115,130,,01-04-2024 15:00
91,0,1,13,Standard,110,115,105,120,,01-04-2024 09:00
114,0,2,15,Standard,115,120,110,130,,27-04-2024 09:00
163,0,4,2,Pro,130,135,125,145,,14-04-2024 12:00
150,0,3,7,Standard,120,125,115,130,,06-04-2024 10:00
153,Marathon,3,6,Pro,125,130,120,140,,30-04-2024 12:00
106,0,1,15,Standard,110,115,105,120,,24-04-2024 12:00
157,0,3,14,Standard,130,135,125,145,,02-04-2024 08:00
156,Food festival,3,6,Pro,130,135,120,125,,12-04-2024 08:00
97,0,3,14,Standard,120,125,115,130,,27-04-2024 13:00
126,0,3,10,Pro,120,125,115,130,,06-04-2024 08:00
119,0,2,14,Standard,125,130,120,140,,06-04-2024 10:00
138,0,2,2,Pro,130,135,125,145,,21-04-2024 13:00
156,Marathon,4,4,Pro,125,130,120,140,,06-04-2024 10:00
152,0,3,16,Standard,130,135,120,125,,24-04-2024 10:00
123,0,3,17,Standard,115,120,110,130,,24-04-2024 08:00
82,0,3,13,Standard,110,115,105,120,,20-04-2024 10:00
95,Food festival,4,11,Pro,125,130,120,140,,26-04-2024 12:00
94,0,1,19,Standard,110,115,105,120,,05-04-2024 08:00
96,0,1,17,Standard,115,120,110,130,,25-04-2024 11:00
80,0,4,15,Standard,115,120,110,130,,09-04-2024 13:00
162,Food festival,2,9,Pro,125,130,120,140,,25-04-2024 11:00
150,0,3,4,Pro,110,115,105,120,,12-04-2024 10:00
80,0,3,9,Standard,120,125,115,130,,09-04-2024 13:00
104,0,3,17,Standard,130,135,125,145,,04-04-2024 11:00
125,0,2,4,Pro,130,135,125,145,,08-04-2024 08:00
156,0,3,4,Pro,130,135,125,145,,26-04-2024 12:00
93,0,3,19,Standard,115,120,110,130,,28-04-2024 08:00
97,0,3,13,Standard,115,120,110,130,,03-04-2024 11:30
167,Conference,3,14,Standard,130,135,125,145,,14-04-2024 08:00
80,0,3,11,Standard,110,115,105,120,,07-04-2024 09:00
118,0,3,15,Standard,115,120,110,130,,15-04-2024 09:00
118,0,3,17,Standard,125,130,120,140,,14-04-2024 08:00
149,Marathon,4,10,Pro,130,135,125,145,,08-04-2024 12:00
153,Marathon,4,2,Pro,130,135,125,145,,15-04-2024 13:00
157,0,3,5,Pro,120,125,115,130,,16-04-2024 10:00
149,0,2,7,Pro,120,125,115,130,,22-04-2024 10:00
154,0,3,11,Pro,120,125,115,130,,03-04-2024 14:00
152,0,3,13,Pro,110,115,105,120,,24-04-2024 10:00
156,Marathon,4,3,Pro,130,135,120,125,,01-04-2024 12:00
90,0,1,12,Standard,110,115,105,120,,04-04-2024 11:00
80,0,3,13,Standard,115,120,110,130,,04-04-2024 11:00
123,Conference,2,5,Pro,125,130,120,140,,28-04-2024 08:00
101,0,1,11,Standard,120,125,115,130,,01-04-2024 09:00
101,0,3,15,Pro,120,125,115,130,,25-04-2024 09:00
110,0,4,20,Pro,130,135,125,145,,26-04-2024 08:00
138,Conference,3,14,Standard,130,135,125,145,,05-04-2024 12:00
80,0,3,19,Standard,115,120,110,130,,10-04-2024 08:00
93,0,2,14,Standard,110,115,105,120,,02-04-2024 10:30
157,Marathon,3,5,Pro,125,130,120,140,,22-04-2024 10:00
160,0,4,3,Pro,130,135,125,145,,22-04-2024 08:00
96,0,1,18,Standard,120,125,115,130,,11-04-2024 10:00
180,Marathon,2,6,Pro,125,130,120,140,,28-04-2024 10:00
122,0,3,14,Standard,115,120,110,130,,07-04-2024 11:00
86,0,2,15,Standard,115,120,110,130,,18-04-2024 08:00
151,0,3,14,Pro,120,125,115,135,,09-04-2024 11:30
180,Concert,2,2,Pro,130,135,125,145,,05-04-2024 10:00
180,Marathon,3,6,Pro,125,130,120,140,,20-04-2024 12:00
148,0,4,18,Standard,125,130,120,140,,19-04-2024 11:00
161,Marathon,4,3,Pro,125,130,120,140,,22-04-2024 10:00
132,0,3,18,Pro,125,130,120,140,,12-04-2024 12:00
151,Food festival,1,5,Pro,130,135,125,145,,10-04-2024 08:00
108,0,3,18,Standard,115,120,110,130,,11-04-2024 10:00
149,Food festival,2,6,Pro,125,130,120,140,,19-04-2024 09:00
126,0,2,17,Standard,125,130,120,140,,14-04-2024 10:00
133,0,3,15,Standard,120,125,115,130,,08-04-2024 10:00
90,0,3,11,Standard,115,120,110,130,,03-04-2024 09:00
80,Food festival,3,10,Standard,110,115,105,120,,14-04-2024 08:00
116,0,4,3,Pro,125,130,120,140,,15-04-2024 11:30
123,0,2,7,Pro,130,135,125,145,,12-04-2024 12:00
152,Conference,2,3,Pro,130,135,125,145,,06-04-2024 10:00
160,0,2,6,Pro,130,135,120,125,,06-04-2024 10:00
161,0,4,2,Pro,125,130,120,140,,19-04-2024 09:00
166,Marathon,3,5,Pro,130,135,125,145,,19-04-2024 09:00
83,0,4,15,Standard,120,125,115,130,,04-04-2024 11:00
88,0,4,16,Pro,120,125,115,130,,01-04-2024 09:00
127,0,4,14,Standard,110,115,105,120,,14-04-2024 12:00
136,0,2,9,Pro,120,125,115,135,,09-04-2024 11:30
138,0,4,16,Pro,125,130,120,140,,27-04-2024 13:00
104,0,4,14,Standard,110,115,105,120,,13-04-2024 11:00
161,Marathon,2,6,Pro,120,125,115,130,,07-04-2024 11:00
97,Marathon,3,13,Standard,130,135,125,145,,01-04-2024 15:00
125,Concert,1,3,Pro,125,130,120,140,,06-04-2024 08:00
94,0,3,15,Standard,115,120,110,130,,03-04-2024 11:30
138,0,4,11,Pro,130,135,125,145,,29-04-2024 12:00
177,Marathon,4,2,Pro,130,135,125,145,,02-04-2024 08:00
81,0,2,14,Standard,120,125,115,130,,30-04-2024 10:00
148,0,3,16,Pro,115,120,110,130,,06-04-2024 12:00
152,Marathon,2,3,Pro,125,130,120,140,,19-04-2024 09:00
156,0,4,17,Standard,110,115,105,120,,02-04-2024 12:45
88,0,4,10,Standard,115,120,110,130,,11-04-2024 12:00
139,0,3,3,Pro,125,130,120,140,,29-04-2024 08:00
85,0,1,14,Standard,110,115,105,120,,07-04-2024 09:00
98,0,4,16,Standard,115,120,110,130,,01-04-2024 09:00
145,Concert,2,3,Pro,125,130,120,140,,12-04-2024 10:00
104,0,3,13,Standard,110,115,105,120,,19-04-2024 09:00
94,0,3,19,Standard,110,115,105,120,,11-04-2024 10:00
142,Marathon,2,6,Pro,130,135,125,145,,06-04-2024 10:00
99,0,3,13,Standard,110,115,105,120,,25-04-2024 09:00
131,0,3,5,Pro,120,125,115,130,,20-04-2024 08:00
133,0,2,12,Standard,115,120,110,130,,15-04-2024 11:30
165,Marathon,3,5,Pro,125,130,120,140,,20-04-2024 08:00
102,0,2,7,Pro,125,130,120,140,,29-04-2024 08:00
102,0,2,15,Standard,115,120,110,130,,15-04-2024 09:00
116,0,1,12,Standard,110,115,105,120,,05-04-2024 08:00
92,0,4,16,Standard,115,120,110,130,,09-04-2024 09:00
134,Marathon,2,4,Pro,130,135,125,145,,25-04-2024 11:00
171,0,3,7,Pro,120,125,115,130,,16-04-2024 12:00
127,Food festival,4,3,Pro,125,130,120,140,,15-04-2024 09:00
107,0,1,18,Standard,110,115,105,120,,21-04-2024 11:30
114,0,4,16,Standard,130,135,125,145,,26-04-2024 12:00
83,0,1,15,Standard,110,115,105,120,,15-04-2024 09:00
102,0,3,9,Standard,115,120,110,130,,30-04-2024 12:00
134,Concert,3,11,Standard,130,135,125,145,,06-04-2024 10:00
147,0,4,15,Pro,125,130,120,140,,29-04-2024 12:00
153,Marathon,3,2,Pro,125,130,120,140,,05-04-2024 12:00
92,0,3,14,Standard,115,120,110,130,,09-04-2024 11:30
133,Marathon,3,2,Pro,125,130,120,140,,25-04-2024 09:00
102,0,3,11,Standard,110,115,105,120,,04-04-2024 11:00
173,0,3,4,Standard,130,135,125,145,,01-04-2024 12:00
105,0,4,16,Pro,115,120,110,130,,11-04-2024 10:00
89,0,1,13,Standard,110,115,105,120,,17-04-2024 08:00
95,0,3,15,Standard,115,120,110,130,,02-04-2024 08:00
103,0,3,4,Pro,130,135,125,145,,14-04-2024 08:00
155,0,2,4,Pro,120,125,115,130,,29-04-2024 12:00
136,Conference,3,3,Pro,125,130,120,140,,29-04-2024 12:00
154,Conference,3,14,Pro,120,125,115,130,,30-04-2024 12:00
122,Concert,3,4,Pro,125,130,120,140,,29-04-2024 12:00
166,0,3,2,Pro,125,130,120,140,,29-04-2024 08:00
106,0,3,15,Standard,130,135,120,125,,17-04-2024 10:00
90,0,3,15,Pro,115,120,110,130,,24-04-2024 10:00
141,Conference,4,17,Pro,115,120,110,130,,10-04-2024 10:00
80,Conference,1,17,Standard,120,125,115,130,,06-04-2024 12:00
151,Marathon,3,3,Pro,125,130,120,140,,01-04-2024 12:00
88,0,1,10,Standard,115,120,110,130,,29-04-2024 10:00
109,Food festival,3,17,Pro,120,125,115,130,,23-04-2024 11:00
148,Marathon,2,4,Pro,130,135,125,145,,06-04-2024 08:00
107,0,1,15,Standard,115,120,110,130,,07-04-2024 11:00
118,0,3,15,Standard,115,120,110,130,,04-04-2024 08:00
95,0,4,3,Standard,110,115,105,120,,02-04-2024 10:30
98,0,2,14,Standard,120,125,115,135,,10-04-2024 08:00
140,0,2,6,Pro,130,135,125,145,,03-04-2024 09:00
98,Concert,3,7,Pro,130,135,125,145,,03-04-2024 14:00
120,0,4,4,Standard,125,130,120,140,,14-04-2024 08:00
92,0,3,11,Standard,115,120,110,130,,06-04-2024 08:00
118,0,3,17,Standard,110,115,105,120,,29-04-2024 10:00
171,Marathon,2,3,Pro,125,130,120,140,,13-04-2024 11:00
129,0,2,14,Pro,120,125,115,130,,30-04-2024 12:00
116,0,4,17,Pro,120,125,115,130,,14-04-2024 12:00
89,0,1,15,Standard,115,120,110,130,,11-04-2024 12:00
97,0,3,14,Standard,115,120,110,130,,30-04-2024 10:00
151,Food festival,3,3,Pro,125,130,120,140,,06-04-2024 12:00
176,Marathon,3,5,Pro,125,130,120,140,,26-04-2024 12:00
147,0,3,2,Pro,130,135,125,145,,02-04-2024 08:00
101,0,1,18,Standard,115,120,110,130,,13-04-2024 11:00
120,0,3,18,Standard,110,115,105,120,,15-04-2024 09:00
124,0,3,16,Pro,115,120,110,130,,15-04-2024 13:00
80,0,3,12,Standard,115,120,110,130,,02-04-2024 08:00
133,0,1,19,Pro,125,130,120,140,,25-04-2024 09:00
154,Marathon,4,2,Pro,125,130,120,140,,19-04-2024 09:00
134,0,3,2,Pro,125,130,120,140,,25-04-2024 09:00
118,0,2,5,Pro,130,135,125,145,,11-04-2024 12:00
99,0,2,17,Standard,115,120,110,130,,13-04-2024 11:00
155,0,3,2,Pro,130,135,125,145,,12-04-2024 12:00
147,0,3,18,Pro,120,125,115,130,,30-04-2024 10:00
138,Marathon,2,4,Pro,125,130,120,140,,22-04-2024 12:00
173,Concert,3,5,Standard,120,125,115,130,,17-04-2024 08:00
105,Conference,3,11,Standard,115,120,110,130,,01-04-2024 09:00
87,0,3,14,Standard,115,120,110,130,,06-04-2024 08:00
115,Food festival,3,7,Pro,125,130,120,140,,11-04-2024 08:00
112,0,1,13,Standard,120,125,115,130,,08-04-2024 12:00
110,0,3,12,Standard,115,120,110,130,,09-04-2024 09:00
129,0,2,15,Pro,125,130,120,140,,22-04-2024 12:00
117,0,4,4,Pro,120,125,115,135,,19-04-2024 09:00
120,0,3,2,Pro,130,135,125,145,,24-04-2024 10:00
123,0,2,17,Standard,120,125,115,130,,03-04-2024 11:30
128,0,3,15,Pro,125,130,120,140,,22-04-2024 08:00
103,0,3,13,Standard,115,120,110,130,,09-04-2024 13:00
97,0,3,16,Standard,120,125,115,130,,30-04-2024 08:00
80,0,3,16,Standard,110,115,105,120,,16-04-2024 12:00
89,0,1,18,Standard,110,115,105,120,,09-04-2024 13:00
119,Food festival,3,2,Pro,125,130,120,140,,16-04-2024 08:00
150,0,2,20,Standard,120,125,115,130,,02-04-2024 08:00
156,0,1,14,Standard,120,125,115,130,,17-04-2024 08:00
151,0,2,15,Standard,120,125,115,130,,22-04-2024 10:00
86,0,3,10,Standard,115,120,110,130,,29-04-2024 10:00
98,0,4,14,Standard,115,120,110,130,,02-04-2024 08:00
145,0,3,13,Standard,130,135,120,125,,27-04-2024 11:30
124,0,3,4,Standard,125,130,120,140,,03-04-2024 14:00
94,0,2,16,Standard,115,120,110,130,,11-04-2024 08:00
103,0,4,17,Standard,110,115,105,120,,20-04-2024 10:00
141,Concert,3,2,Pro,115,120,110,130,,16-04-2024 12:00
150,Concert,3,2,Pro,125,130,120,140,,07-04-2024 09:00
143,Food festival,3,4,Pro,130,135,125,145,,04-04-2024 11:00
128,Conference,2,2,Pro,125,130,120,140,,02-04-2024 10:30
132,Marathon,4,2,Standard,120,125,115,130,,28-04-2024 12:00
127,0,1,16,Standard,115,120,110,130,,06-04-2024 12:00
147,Marathon,2,2,Pro,125,130,120,140,,30-04-2024 12:00
110,0,3,15,Standard,115,120,110,130,,04-04-2024 11:00
100,0,3,15,Standard,115,120,110,130,,28-04-2024 10:00
91,0,1,15,Standard,115,120,110,130,,20-04-2024 10:00
96,0,4,12,Pro,130,135,125,145,,10-04-2024 10:00
103,0,2,17,Standard,115,120,110,130,,23-04-2024 12:30
152,0,4,2,Pro,130,135,125,145,,05-04-2024 10:00
119,0,2,14,Standard,130,135,125,145,,15-04-2024 13:00
135,Concert,2,5,Pro,120,125,115,130,,14-04-2024 12:00
135,0,3,13,Standard,115,120,110,130,,23-04-2024 12:30
108,0,1,15,Standard,130,135,120,125,,02-04-2024 12:45
83,0,4,10,Standard,125,130,120,140,,30-04-2024 08:00
154,Concert,3,4,Pro,125,130,120,140,,03-04-2024 14:00
128,0,3,14,Standard,115,120,110,130,,14-04-2024 10:00
95,0,3,16,Standard,120,125,115,130,,27-04-2024 09:00
144,Marathon,3,6,Pro,125,130,120,140,,20-04-2024 08:00
136,Conference,2,5,Pro,130,135,125,145,,29-04-2024 12:00
156,0,2,6,Pro,130,135,125,145,,23-04-2024 11:00
161,Conference,4,13,Standard,120,125,115,130,,20-04-2024 08:00
95,0,1,18,Standard,115,120,110,130,,21-04-2024 09:00
113,0,2,12,Standard,120,125,115,130,,20-04-2024 10:00
148,0,3,17,Standard,115,120,110,130,,20-04-2024 10:00
100,0,2,11,Standard,110,115,105,120,,06-04-2024 08:00
117,Food festival,1,15,Standard,125,130,120,140,,17-04-2024 12:00
105,0,1,13,Standard,110,115,105,120,,04-04-2024 09:30
143,Business convention,3,13,Pro,125,130,120,140,,22-04-2024 12:00
120,0,2,17,Standard,110,115,105,120,,21-04-2024 11:30
118,0,3,15,Standard,115,120,110,130,,30-04-2024 10:00
90,Concert,1,11,Standard,115,120,110,130,,18-04-2024 10:00
156,Food festival,3,4,Pro,130,135,125,145,,08-04-2024 08:00
127,Marathon,3,2,Pro,125,130,120,140,,08-04-2024 12:00
128,Marathon,4,2,Pro,130,135,125,145,,21-04-2024 09:00
151,Business convention,3,16,Standard,125,130,120,140,,02-04-2024 12:45
104,0,3,16,Standard,115,120,110,130,,03-04-2024 14:00
116,0,2,15,Standard,130,135,125,145,,11-04-2024 08:00
147,0,3,12,Pro,130,135,125,145,,16-04-2024 10:00
150,0,4,4,Pro,130,135,125,145,,09-04-2024 11:30
89,0,3,13,Standard,110,115,105,120,,30-04-2024 10:00
80,0,3,14,Standard,110,115,105,120,,19-04-2024 11:00
130,Marathon,4,2,Pro,125,130,120,140,,01-04-2024 12:00
109,0,1,14,Standard,115,120,110,130,,10-04-2024 12:00
121,0,4,13,Standard,110,115,105,120,,01-04-2024 12:00
128,0,3,2,Pro,130,135,125,145,,20-04-2024 10:00
154,Marathon,3,2,Pro,130,135,125,145,,26-04-2024 12:00
165,0,1,14,Standard,115,120,110,130,,22-04-2024 08:00
133,Business convention,2,2,Pro,125,130,120,140,,13-04-2024 09:00
101,0,1,13,Standard,110,115,105,120,,11-04-2024 08:00
152,Conference,4,4,Pro,125,130,120,140,,06-04-2024 10:00
114,Business convention,4,8,Pro,115,120,110,130,,04-04-2024 11:00
103,0,2,15,Standard,120,125,115,130,,26-04-2024 12:00
135,0,3,3,Standard,115,120,110,130,,28-04-2024 08:00
161,Marathon,2,5,Pro,125,130,120,140,,29-04-2024 12:00
103,0,1,16,Standard,115,120,110,130,,17-04-2024 08:00
168,Marathon,4,4,Pro,130,135,125,145,,23-04-2024 12:30
86,0,2,17,Standard,115,120,110,130,,20-04-2024 10:00
82,0,3,11,Standard,115,120,110,130,,20-04-2024 10:00
96,0,4,16,Standard,115,120,110,130,,20-04-2024 10:00
88,0,3,16,Pro,125,130,120,140,,04-04-2024 11:00
122,0,3,13,Standard,120,125,115,130,,08-04-2024 12:00
147,Conference,4,2,Pro,125,130,120,140,,29-04-2024 12:00
137,0,3,12,Standard,120,125,115,135,,30-04-2024 10:00
131,Marathon,2,5,Pro,125,130,120,140,,22-04-2024 10:00
120,0,3,17,Standard,115,120,110,130,,12-04-2024 08:00
121,Marathon,4,5,Pro,130,135,125,145,,01-04-2024 12:00
145,Conference,3,2,Pro,125,130,120,140,,19-04-2024 09:00
117,0,3,15,Standard,110,115,105,120,,28-04-2024 08:00
95,0,4,14,Standard,110,115,105,120,,10-04-2024 08:00
131,0,2,14,Standard,130,135,120,125,,25-04-2024 11:00
102,0,3,19,Standard,120,125,115,130,,09-04-2024 11:30
124,0,1,17,Standard,115,120,110,130,,18-04-2024 08:00
110,0,3,17,Standard,115,120,110,130,,02-04-2024 12:45
155,0,3,4,Pro,125,130,120,140,,01-04-2024 09:00
88,Conference,3,15,Standard,110,115,105,120,,16-04-2024 12:00
125,Concert,1,16,Standard,120,125,115,135,,30-04-2024 12:00
90,0,3,15,Standard,110,115,105,120,,25-04-2024 09:00
