BookingTime,Competitors' Rates ($),Room Price ($),Local Events/Attractions,Length of Stay (nights),Room Availability,Room Type
21-04-2024 13:00,"110, 115, 105, 120",102,None,3,17,Standard
03-04-2024 14:00,"125, 130, 120, 140",123,Marathon,3,7,Pro
04-04-2024 09:30,"125, 130, 120, 140",82,None,4,13,Standard
02-04-2024 08:00,"110, 115, 105, 120",142,None,3,18,Pro
06-04-2024 08:00,"110, 115, 105, 120",154,None,4,16,Pro
19-04-2024 09:00,"110, 115, 105, 120",102,None,1,12,Standard
16-04-2024 12:00,"115, 120, 110, 130",80,None,1,17,Standard
14-04-2024 10:00,"110, 115, 105, 120",80,None,1,2,Standard
17-04-2024 10:00,"125, 130, 120, 140",151,None,2,2,Standard
14-04-2024 08:00,"130, 135, 125, 145",118,None,2,11,Standard
24-04-2024 10:00,"130, 135, 125, 145",145,None,2,4,Pro
16-04-2024 08:00,"120, 125, 115, 130",143,None,3,20,Standard
27-04-2024 13:00,"130, 135, 125, 145",112,None,3,12,Pro
13-04-2024 09:00,"125, 130, 120, 140",171,Concert,2,6,Pro
27-04-2024 09:00,"115, 120, 110, 130",80,None,2,17,Standard
29-04-2024 12:00,"125, 130, 120, 140",138,Food festival,4,5,Pro
11-04-2024 10:00,"125, 130, 120, 140",126,Conference,3,13,Pro
27-04-2024 09:00,"115, 120, 110, 130",97,None,3,15,Standard
30-04-2024 12:00,"130, 135, 125, 145",152,None,2,3,Pro
02-04-2024 08:00,"125, 130, 120, 140",114,Marathon,3,12,Pro
26-04-2024 08:00,"125, 130, 120, 140",138,None,2,5,Pro
18-04-2024 08:00,"120, 125, 115, 130",80,None,1,15,Standard
03-04-2024 09:00,"125, 130, 120, 140",162,Marathon,3,2,Pro
02-04-2024 08:00,"130, 135, 125, 145",152,Marathon,3,5,Pro
20-04-2024 10:00,"125, 130, 120, 140",112,Food festival,3,2,Standard
04-04-2024 08:00,"115, 120, 110, 130",117,None,1,6,Standard
04-04-2024 11:00,"110, 115, 105, 120",87,None,2,14,Standard
04-04-2024 11:00,"130, 135, 125, 145",174,None,3,5,Pro
07-04-2024 09:00,"110, 115, 105, 120",106,None,1,15,Standard
02-04-2024 08:00,"125, 130, 120, 140",128,Conference,4,5,Pro
10-04-2024 08:00,"115, 120, 110, 130",84,None,1,15,Standard
24-04-2024 12:00,"115, 120, 110, 130",107,None,1,19,Standard
22-04-2024 08:00,"130, 135, 125, 145",133,None,2,3,Standard
05-04-2024 08:00,"120, 125, 115, 130",91,None,3,9,Standard
18-04-2024 10:00,"125, 130, 120, 140",118,Marathon,1,15,Pro
26-04-2024 08:00,"110, 115, 105, 120",97,None,1,19,Standard
27-04-2024 11:30,"125, 130, 120, 140",91,Concert,2,14,Standard
08-04-2024 12:00,"130, 135, 125, 145",132,Concert,2,4,Pro
01-04-2024 12:00,"130, 135, 125, 145",148,None,3,9,Pro
14-04-2024 10:00,"120, 125, 115, 130",119,None,3,15,Standard
09-04-2024 09:00,"115, 120, 110, 130",117,None,4,15,Standard
14-04-2024 10:00,"130, 135, 125, 145",155,None,2,2,Pro
19-04-2024 09:00,"125, 130, 120, 140",147,None,1,2,Pro
21-04-2024 09:00,"125, 130, 120, 140",130,None,3,14,Standard
22-04-2024 08:00,"110, 115, 105, 120",87,None,3,13,Standard
20-04-2024 10:00,"115, 120, 110, 130",107,None,4,16,Standard
29-04-2024 12:00,"130, 135, 125, 145",149,Marathon,3,5,Pro
05-04-2024 10:00,"110, 115, 105, 120",144,None,2,18,Pro
07-04-2024 11:00,"115, 120, 110, 130",80,None,1,12,Standard
14-04-2024 10:00,"115, 120, 110, 130",86,None,2,14,Standard
27-04-2024 13:00,"130, 135, 125, 145",104,None,3,11,Standard
02-04-2024 08:00,"110, 115, 105, 120",122,Business convention,3,17,Standard
27-04-2024 11:30,"120, 125, 115, 130",119,None,3,15,Standard
16-04-2024 10:00,"115, 120, 110, 130",105,None,4,17,Standard
28-04-2024 08:00,"125, 130, 120, 140",142,Food festival,1,9,Standard
11-04-2024 10:00,"120, 125, 115, 130",96,None,3,17,Standard
10-04-2024 10:00,"115, 120, 110, 130",80,None,3,15,Standard
11-04-2024 12:00,"115, 120, 110, 130",93,None,1,15,Standard
05-04-2024 08:00,"130, 135, 125, 145",180,None,2,2,Pro
18-04-2024 08:00,"130, 135, 125, 145",158,Food festival,3,7,Pro
10-04-2024 12:00,"125, 130, 120, 140",98,None,2,12,Standard
24-04-2024 12:00,"120, 125, 115, 130",119,None,3,12,Pro
16-04-2024 08:00,"125, 130, 120, 140",158,Conference,4,2,Pro
09-04-2024 11:30,"120, 125, 115, 130",147,None,2,15,Standard
29-04-2024 10:00,"130, 135, 125, 145",147,None,3,2,Pro
12-04-2024 10:00,"120, 125, 115, 130",136,None,3,10,Pro
22-04-2024 08:00,"120, 125, 115, 130",120,None,3,15,Standard
03-04-2024 09:00,"115, 120, 110, 130",105,None,4,15,Standard
30-04-2024 08:00,"120, 125, 115, 135",107,Conference,3,15,Pro
23-04-2024 11:00,"110, 115, 105, 120",107,Conference,1,15,Standard
26-04-2024 08:00,"120, 125, 115, 130",95,None,1,16,Standard
20-04-2024 10:00,"125, 130, 120, 140",139,Food festival,3,4,Pro
28-04-2024 08:00,"130, 135, 125, 145",81,None,3,17,Standard
27-04-2024 11:30,"120, 125, 115, 130",92,None,3,16,Standard
01-04-2024 15:00,"115, 120, 110, 130",89,None,3,13,Standard
05-04-2024 12:00,"120, 125, 115, 130",124,None,4,16,Pro
11-04-2024 12:00,"110, 115, 105, 120",158,None,2,15,Pro
19-04-2024 11:00,"115, 120, 110, 130",111,None,3,16,Standard
15-04-2024 11:30,"130, 135, 125, 145",120,Marathon,1,4,Pro
07-04-2024 09:00,"130, 135, 125, 145",150,Concert,4,2,Pro
13-04-2024 09:00,"110, 115, 105, 120",108,None,3,13,Standard
07-04-2024 11:00,"115, 120, 110, 130",127,None,1,18,Standard
21-04-2024 13:00,"125, 130, 120, 140",130,None,1,14,Standard
04-04-2024 08:00,"130, 135, 125, 145",141,Concert,2,2,Pro
22-04-2024 12:00,"120, 125, 115, 135",130,None,3,13,Pro
09-04-2024 11:30,"120, 125, 115, 130",100,Conference,4,10,Pro
13-04-2024 09:00,"120, 125, 115, 135",95,None,3,16,Standard
28-04-2024 10:00,"130, 135, 125, 145",134,None,3,11,Standard
14-04-2024 10:00,"110, 115, 105, 120",107,None,1,16,Standard
26-04-2024 12:00,"125, 130, 120, 140",139,None,2,6,Pro
16-04-2024 12:00,"125, 130, 120, 140",97,None,2,8,Standard
01-04-2024 12:00,"125, 130, 120, 140",146,Concert,3,6,Pro
16-04-2024 10:00,"115, 120, 110, 130",108,None,2,13,Standard
30-04-2024 08:00,"115, 120, 110, 130",93,None,2,15,Standard
08-04-2024 08:00,"130, 135, 125, 145",136,None,2,5,Pro
27-04-2024 09:00,"125, 130, 120, 140",89,Conference,2,7,Pro
20-04-2024 12:00,"130, 135, 125, 145",171,Marathon,2,5,Pro
27-04-2024 13:00,"125, 130, 120, 140",134,None,2,12,Standard
30-04-2024 08:00,"115, 120, 110, 130",80,None,1,12,Standard
13-04-2024 09:00,"125, 130, 120, 140",130,Conference,4,2,Pro
16-04-2024 10:00,"130, 135, 125, 145",145,None,3,4,Pro
10-04-2024 08:00,"115, 120, 110, 130",98,None,3,16,Standard
16-04-2024 10:00,"130, 135, 125, 145",157,Conference,3,4,Pro
20-04-2024 12:00,"120, 125, 115, 130",154,Conference,1,3,Standard
29-04-2024 08:00,"120, 125, 115, 130",150,None,3,12,Pro
27-04-2024 09:00,"120, 125, 115, 130",95,None,2,7,Standard
01-04-2024 15:00,"125, 130, 120, 140",143,Marathon,4,3,Pro
09-04-2024 09:00,"120, 125, 115, 130",101,None,3,14,Standard
08-04-2024 10:00,"130, 135, 120, 125",167,None,2,3,Pro
29-04-2024 12:00,"130, 135, 125, 145",180,None,2,4,Pro
26-04-2024 10:00,"125, 130, 120, 140",130,Concert,4,5,Pro
01-04-2024 15:00,"120, 125, 115, 130",80,None,3,14,Standard
01-04-2024 09:00,"110, 115, 105, 120",91,None,1,13,Standard
27-04-2024 09:00,"115, 120, 110, 130",114,None,2,15,Standard
14-04-2024 12:00,"130, 135, 125, 145",163,None,4,2,Pro
06-04-2024 10:00,"120, 125, 115, 130",150,None,3,7,Standard
30-04-2024 12:00,"125, 130, 120, 140",153,Marathon,3,6,Pro
24-04-2024 12:00,"110, 115, 105, 120",106,None,1,15,Standard
02-04-2024 08:00,"130, 135, 125, 145",157,None,3,14,Standard
12-04-2024 08:00,"130, 135, 120, 125",156,Food festival,3,6,Pro
27-04-2024 13:00,"120, 125, 115, 130",97,None,3,14,Standard
06-04-2024 08:00,"120, 125, 115, 130",126,None,3,10,Pro
06-04-2024 10:00,"125, 130, 120, 140",119,None,2,14,Standard
21-04-2024 13:00,"130, 135, 125, 145",138,None,2,2,Pro
06-04-2024 10:00,"125, 130, 120, 140",156,Marathon,4,4,Pro
24-04-2024 10:00,"130, 135, 120, 125",152,None,3,16,Standard
24-04-2024 08:00,"115, 120, 110, 130",123,None,3,17,Standard
20-04-2024 10:00,"110, 115, 105, 120",82,None,3,13,Standard
26-04-2024 12:00,"125, 130, 120, 140",95,Food festival,4,11,Pro
05-04-2024 08:00,"110, 115, 105, 120",94,None,1,19,Standard
25-04-2024 11:00,"115, 120, 110, 130",96,None,1,17,Standard
09-04-2024 13:00,"115, 120, 110, 130",80,None,4,15,Standard
25-04-2024 11:00,"125, 130, 120, 140",162,Food festival,2,9,Pro
12-04-2024 10:00,"110, 115, 105, 120",150,None,3,4,Pro
09-04-2024 13:00,"120, 125, 115, 130",80,None,3,9,Standard
04-04-2024 11:00,"130, 135, 125, 145",104,None,3,17,Standard
08-04-2024 08:00,"130, 135, 125, 145",125,None,2,4,Pro
26-04-2024 12:00,"130, 135, 125, 145",156,None,3,4,Pro
28-04-2024 08:00,"115, 120, 110, 130",93,None,3,19,Standard
03-04-2024 11:30,"115, 120, 110, 130",97,None,3,13,Standard
14-04-2024 08:00,"130, 135, 125, 145",167,Conference,3,14,Standard
07-04-2024 09:00,"110, 115, 105, 120",80,None,3,11,Standard
15-04-2024 09:00,"115, 120, 110, 130",118,None,3,15,Standard
14-04-2024 08:00,"125, 130, 120, 140",118,None,3,17,Standard
08-04-2024 12:00,"130, 135, 125, 145",149,Marathon,4,10,Pro
15-04-2024 13:00,"130, 135, 125, 145",153,Marathon,4,2,Pro
16-04-2024 10:00,"120, 125, 115, 130",157,None,3,5,Pro
22-04-2024 10:00,"120, 125, 115, 130",149,None,2,7,Pro
03-04-2024 14:00,"120, 125, 115, 130",154,None,3,11,Pro
24-04-2024 10:00,"110, 115, 105, 120",152,None,3,13,Pro
01-04-2024 12:00,"130, 135, 120, 125",156,Marathon,4,3,Pro
04-04-2024 11:00,"110, 115, 105, 120",90,None,1,12,Standard
04-04-2024 11:00,"115, 120, 110, 130",80,None,3,13,Standard
28-04-2024 08:00,"125, 130, 120, 140",123,Conference,2,5,Pro
01-04-2024 09:00,"120, 125, 115, 130",101,None,1,11,Standard
25-04-2024 09:00,"120, 125, 115, 130",101,None,3,15,Pro
26-04-2024 08:00,"130, 135, 125, 145",110,None,4,20,Pro
05-04-2024 12:00,"130, 135, 125, 145",138,Conference,3,14,Standard
10-04-2024 08:00,"115, 120, 110, 130",80,None,3,19,Standard
02-04-2024 10:30,"110, 115, 105, 120",93,None,2,14,Standard
22-04-2024 10:00,"125, 130, 120, 140",157,Marathon,3,5,Pro
22-04-2024 08:00,"130, 135, 125, 145",160,None,4,3,Pro
11-04-2024 10:00,"120, 125, 115, 130",96,None,1,18,Standard
28-04-2024 10:00,"125, 130, 120, 140",180,Marathon,2,6,Pro
07-04-2024 11:00,"115, 120, 110, 130",122,None,3,14,Standard
18-04-2024 08:00,"115, 120, 110, 130",86,None,2,15,Standard
09-04-2024 11:30,"120, 125, 115, 135",151,None,3,14,Pro
05-04-2024 10:00,"130, 135, 125, 145",180,Concert,2,2,Pro
20-04-2024 12:00,"125, 130, 120, 140",180,Marathon,3,6,Pro
19-04-2024 11:00,"125, 130, 120, 140",148,None,4,18,Standard
22-04-2024 10:00,"125, 130, 120, 140",161,Marathon,4,3,Pro
12-04-2024 12:00,"125, 130, 120, 140",132,None,3,18,Pro
10-04-2024 08:00,"130, 135, 125, 145",151,Food festival,1,5,Pro
11-04-2024 10:00,"115, 120, 110, 130",108,None,3,18,Standard
19-04-2024 09:00,"125, 130, 120, 140",149,Food festival,2,6,Pro
14-04-2024 10:00,"125, 130, 120, 140",126,None,2,17,Standard
08-04-2024 10:00,"120, 125, 115, 130",133,None,3,15,Standard
03-04-2024 09:00,"115, 120, 110, 130",90,None,3,11,Standard
14-04-2024 08:00,"110, 115, 105, 120",80,Food festival,3,10,Standard
15-04-2024 11:30,"125, 130, 120, 140",116,None,4,3,Pro
12-04-2024 12:00,"130, 135, 125, 145",123,None,2,7,Pro
06-04-2024 10:00,"130, 135, 125, 145",152,Conference,2,3,Pro
06-04-2024 10:00,"130, 135, 120, 125",160,None,2,6,Pro
19-04-2024 09:00,"125, 130, 120, 140",161,None,4,2,Pro
19-04-2024 09:00,"130, 135, 125, 145",166,Marathon,3,5,Pro
04-04-2024 11:00,"120, 125, 115, 130",83,None,4,15,Standard
01-04-2024 09:00,"120, 125, 115, 130",88,None,4,16,Pro
14-04-2024 12:00,"110, 115, 105, 120",127,None,4,14,Standard
09-04-2024 11:30,"120, 125, 115, 135",136,None,2,9,Pro
27-04-2024 13:00,"125, 130, 120, 140",138,None,4,16,Pro
13-04-2024 11:00,"110, 115, 105, 120",104,None,4,14,Standard
07-04-2024 11:00,"120, 125, 115, 130",161,Marathon,2,6,Pro
01-04-2024 15:00,"130, 135, 125, 145",97,Marathon,3,13,Standard
06-04-2024 08:00,"125, 130, 120, 140",125,Concert,1,3,Pro
03-04-2024 11:30,"115, 120, 110, 130",94,None,3,15,Standard
29-04-2024 12:00,"130, 135, 125, 145",138,None,4,11,Pro
02-04-2024 08:00,"130, 135, 125, 145",177,Marathon,4,2,Pro
30-04-2024 10:00,"120, 125, 115, 130",81,None,2,14,Standard
06-04-2024 12:00,"115, 120, 110, 130",148,None,3,16,Pro
19-04-2024 09:00,"125, 130, 120, 140",152,Marathon,2,3,Pro
02-04-2024 12:45,"110, 115, 105, 120",156,None,4,17,Standard
11-04-2024 12:00,"115, 120, 110, 130",88,None,4,10,Standard
29-04-2024 08:00,"125, 130, 120, 140",139,None,3,3,Pro
07-04-2024 09:00,"110, 115, 105, 120",85,None,1,14,Standard
01-04-2024 09:00,"115, 120, 110, 130",98,None,4,16,Standard
12-04-2024 10:00,"125, 130, 120, 140",145,Concert,2,3,Pro
19-04-2024 09:00,"110, 115, 105, 120",104,None,3,13,Standard
11-04-2024 10:00,"110, 115, 105, 120",94,None,3,19,Standard
06-04-2024 10:00,"130, 135, 125, 145",142,Marathon,2,6,Pro
25-04-2024 09:00,"110, 115, 105, 120",99,None,3,13,Standard
20-04-2024 08:00,"120, 125, 115, 130",131,None,3,5,Pro
15-04-2024 11:30,"115, 120, 110, 130",133,None,2,12,Standard
20-04-2024 08:00,"125, 130, 120, 140",165,Marathon,3,5,Pro
29-04-2024 08:00,"125, 130, 120, 140",102,None,2,7,Pro
15-04-2024 09:00,"115, 120, 110, 130",102,None,2,15,Standard
05-04-2024 08:00,"110, 115, 105, 120",116,None,1,12,Standard
09-04-2024 09:00,"115, 120, 110, 130",92,None,4,16,Standard
25-04-2024 11:00,"130, 135, 125, 145",134,Marathon,2,4,Pro
16-04-2024 12:00,"120, 125, 115, 130",171,None,3,7,Pro
15-04-2024 09:00,"125, 130, 120, 140",127,Food festival,4,3,Pro
21-04-2024 11:30,"110, 115, 105, 120",107,None,1,18,Standard
26-04-2024 12:00,"130, 135, 125, 145",114,None,4,16,Standard
15-04-2024 09:00,"110, 115, 105, 120",83,None,1,15,Standard
30-04-2024 12:00,"115, 120, 110, 130",102,None,3,9,Standard
06-04-2024 10:00,"130, 135, 125, 145",134,Concert,3,11,Standard
29-04-2024 12:00,"125, 130, 120, 140",147,None,4,15,Pro
05-04-2024 12:00,"125, 130, 120, 140",153,Marathon,3,2,Pro
09-04-2024 11:30,"115, 120, 110, 130",92,None,3,14,Standard
25-04-2024 09:00,"125, 130, 120, 140",133,Marathon,3,2,Pro
04-04-2024 11:00,"110, 115, 105, 120",102,None,3,11,Standard
01-04-2024 12:00,"130, 135, 125, 145",173,None,3,4,Standard
11-04-2024 10:00,"115, 120, 110, 130",105,None,4,16,Pro
17-04-2024 08:00,"110, 115, 105, 120",89,None,1,13,Standard
02-04-2024 08:00,"115, 120, 110, 130",95,None,3,15,Standard
14-04-2024 08:00,"130, 135, 125, 145",103,None,3,4,Pro
29-04-2024 12:00,"120, 125, 115, 130",155,None,2,4,Pro
29-04-2024 12:00,"125, 130, 120, 140",136,Conference,3,3,Pro
30-04-2024 12:00,"120, 125, 115, 130",154,Conference,3,14,Pro
29-04-2024 12:00,"125, 130, 120, 140",122,Concert,3,4,Pro
29-04-2024 08:00,"125, 130, 120, 140",166,None,3,2,Pro
17-04-2024 10:00,"130, 135, 120, 125",106,None,3,15,Standard
24-04-2024 10:00,"115, 120, 110, 130",90,None,3,15,Pro
10-04-2024 10:00,"115, 120, 110, 130",141,Conference,4,17,Pro
06-04-2024 12:00,"120, 125, 115, 130",80,Conference,1,17,Standard
01-04-2024 12:00,"125, 130, 120, 140",151,Marathon,3,3,Pro
29-04-2024 10:00,"115, 120, 110, 130",88,None,1,10,Standard
23-04-2024 11:00,"120, 125, 115, 130",109,Food festival,3,17,Pro
06-04-2024 08:00,"130, 135, 125, 145",148,Marathon,2,4,Pro
07-04-2024 11:00,"115, 120, 110, 130",107,None,1,15,Standard
04-04-2024 08:00,"115, 120, 110, 130",118,None,3,15,Standard
02-04-2024 10:30,"110, 115, 105, 120",95,None,4,3,Standard
10-04-2024 08:00,"120, 125, 115, 135",98,None,2,14,Standard
03-04-2024 09:00,"130, 135, 125, 145",140,None,2,6,Pro
03-04-2024 14:00,"130, 135, 125, 145",98,Concert,3,7,Pro
14-04-2024 08:00,"125, 130, 120, 140",120,None,4,4,Standard
06-04-2024 08:00,"115, 120, 110, 130",92,None,3,11,Standard
29-04-2024 10:00,"110, 115, 105, 120",118,None,3,17,Standard
13-04-2024 11:00,"125, 130, 120, 140",171,Marathon,2,3,Pro
30-04-2024 12:00,"120, 125, 115, 130",129,None,2,14,Pro
14-04-2024 12:00,"120, 125, 115, 130",116,None,4,17,Pro
11-04-2024 12:00,"115, 120, 110, 130",89,None,1,15,Standard
30-04-2024 10:00,"115, 120, 110, 130",97,None,3,14,Standard
06-04-2024 12:00,"125, 130, 120, 140",151,Food festival,3,3,Pro
26-04-2024 12:00,"125, 130, 120, 140",176,Marathon,3,5,Pro
02-04-2024 08:00,"130, 135, 125, 145",147,None,3,2,Pro
13-04-2024 11:00,"115, 120, 110, 130",101,None,1,18,Standard
15-04-2024 09:00,"110, 115, 105, 120",120,None,3,18,Standard
15-04-2024 13:00,"115, 120, 110, 130",124,None,3,16,Pro
02-04-2024 08:00,"115, 120, 110, 130",80,None,3,12,Standard
25-04-2024 09:00,"125, 130, 120, 140",133,None,1,19,Pro
19-04-2024 09:00,"125, 130, 120, 140",154,Marathon,4,2,Pro
25-04-2024 09:00,"125, 130, 120, 140",134,None,3,2,Pro
11-04-2024 12:00,"130, 135, 125, 145",118,None,2,5,Pro
13-04-2024 11:00,"115, 120, 110, 130",99,None,2,17,Standard
12-04-2024 12:00,"130, 135, 125, 145",155,None,3,2,Pro
30-04-2024 10:00,"120, 125, 115, 130",147,None,3,18,Pro
22-04-2024 12:00,"125, 130, 120, 140",138,Marathon,2,4,Pro
17-04-2024 08:00,"120, 125, 115, 130",173,Concert,3,5,Standard
01-04-2024 09:00,"115, 120, 110, 130",105,Conference,3,11,Standard
06-04-2024 08:00,"115, 120, 110, 130",87,None,3,14,Standard
11-04-2024 08:00,"125, 130, 120, 140",115,Food festival,3,7,Pro
08-04-2024 12:00,"120, 125, 115, 130",112,None,1,13,Standard
09-04-2024 09:00,"115, 120, 110, 130",110,None,3,12,Standard
22-04-2024 12:00,"125, 130, 120, 140",129,None,2,15,Pro
19-04-2024 09:00,"120, 125, 115, 135",117,None,4,4,Pro
24-04-2024 10:00,"130, 135, 125, 145",120,None,3,2,Pro
03-04-2024 11:30,"120, 125, 115, 130",123,None,2,17,Standard
22-04-2024 08:00,"125, 130, 120, 140",128,None,3,15,Pro
09-04-2024 13:00,"115, 120, 110, 130",103,None,3,13,Standard
30-04-2024 08:00,"120, 125, 115, 130",97,None,3,16,Standard
16-04-2024 12:00,"110, 115, 105, 120",80,None,3,16,Standard
09-04-2024 13:00,"110, 115, 105, 120",89,None,1,18,Standard
16-04-2024 08:00,"125, 130, 120, 140",119,Food festival,3,2,Pro
02-04-2024 08:00,"120, 125, 115, 130",150,None,2,20,Standard
17-04-2024 08:00,"120, 125, 115, 130",156,None,1,14,Standard
22-04-2024 10:00,"120, 125, 115, 130",151,None,2,15,Standard
29-04-2024 10:00,"115, 120, 110, 130",86,None,3,10,Standard
02-04-2024 08:00,"115, 120, 110, 130",98,None,4,14,Standard
27-04-2024 11:30,"130, 135, 120, 125",145,None,3,13,Standard
03-04-2024 14:00,"125, 130, 120, 140",124,None,3,4,Standard
11-04-2024 08:00,"115, 120, 110, 130",94,None,2,16,Standard
20-04-2024 10:00,"110, 115, 105, 120",103,None,4,17,Standard
16-04-2024 12:00,"115, 120, 110, 130",141,Concert,3,2,Pro
07-04-2024 09:00,"125, 130, 120, 140",150,Concert,3,2,Pro
04-04-2024 11:00,"130, 135, 125, 145",143,Food festival,3,4,Pro
02-04-2024 10:30,"125, 130, 120, 140",128,Conference,2,2,Pro
28-04-2024 12:00,"120, 125, 115, 130",132,Marathon,4,2,Standard
06-04-2024 12:00,"115, 120, 110, 130",127,None,1,16,Standard
30-04-2024 12:00,"125, 130, 120, 140",147,Marathon,2,2,Pro
04-04-2024 11:00,"115, 120, 110, 130",110,None,3,15,Standard
28-04-2024 10:00,"115, 120, 110, 130",100,None,3,15,Standard
20-04-2024 10:00,"115, 120, 110, 130",91,None,1,15,Standard
10-04-2024 10:00,"130, 135, 125, 145",96,None,4,12,Pro
23-04-2024 12:30,"115, 120, 110, 130",103,None,2,17,Standard
05-04-2024 10:00,"130, 135, 125, 145",152,None,4,2,Pro
15-04-2024 13:00,"130, 135, 125, 145",119,None,2,14,Standard
14-04-2024 12:00,"120, 125, 115, 130",135,Concert,2,5,Pro
23-04-2024 12:30,"115, 120, 110, 130",135,None,3,13,Standard
02-04-2024 12:45,"130, 135, 120, 125",108,None,1,15,Standard
30-04-2024 08:00,"125, 130, 120, 140",83,None,4,10,Standard
03-04-2024 14:00,"125, 130, 120, 140",154,Concert,3,4,Pro
14-04-2024 10:00,"115, 120, 110, 130",128,None,3,14,Standard
27-04-2024 09:00,"120, 125, 115, 130",95,None,3,16,Standard
20-04-2024 08:00,"125, 130, 120, 140",144,Marathon,3,6,Pro
29-04-2024 12:00,"130, 135, 125, 145",136,Conference,2,5,Pro
23-04-2024 11:00,"130, 135, 125, 145",156,None,2,6,Pro
20-04-2024 08:00,"120, 125, 115, 130",161,Conference,4,13,Standard
21-04-2024 09:00,"115, 120, 110, 130",95,None,1,18,Standard
20-04-2024 10:00,"120, 125, 115, 130",113,None,2,12,Standard
20-04-2024 10:00,"115, 120, 110, 130",148,None,3,17,Standard
06-04-2024 08:00,"110, 115, 105, 120",100,None,2,11,Standard
17-04-2024 12:00,"125, 130, 120, 140",117,Food festival,1,15,Standard
04-04-2024 09:30,"110, 115, 105, 120",105,None,1,13,Standard
22-04-2024 12:00,"125, 130, 120, 140",143,Business convention,3,13,Pro
21-04-2024 11:30,"110, 115, 105, 120",120,None,2,17,Standard
30-04-2024 10:00,"115, 120, 110, 130",118,None,3,15,Standard
18-04-2024 10:00,"115, 120, 110, 130",90,Concert,1,11,Standard
08-04-2024 08:00,"130, 135, 125, 145",156,Food festival,3,4,Pro
08-04-2024 12:00,"125, 130, 120, 140",127,Marathon,3,2,Pro
21-04-2024 09:00,"130, 135, 125, 145",128,Marathon,4,2,Pro
02-04-2024 12:45,"125, 130, 120, 140",151,Business convention,3,16,Standard
03-04-2024 14:00,"115, 120, 110, 130",104,None,3,16,Standard
11-04-2024 08:00,"130, 135, 125, 145",116,None,2,15,Standard
16-04-2024 10:00,"130, 135, 125, 145",147,None,3,12,Pro
09-04-2024 11:30,"130, 135, 125, 145",150,None,4,4,Pro
30-04-2024 10:00,"110, 115, 105, 120",89,None,3,13,Standard
19-04-2024 11:00,"110, 115, 105, 120",80,None,3,14,Standard
01-04-2024 12:00,"125, 130, 120, 140",130,Marathon,4,2,Pro
10-04-2024 12:00,"115, 120, 110, 130",109,None,1,14,Standard
01-04-2024 12:00,"110, 115, 105, 120",121,None,4,13,Standard
